Timestamp,Online,Offline,Total,Percent Online
2023-11-06 22:05:45,232,2205,2437,9.52
2023-11-06 22:15:13,234,2203,2437,9.6
2023-11-06 22:24:42,232,2205,2437,9.52
2023-11-06 22:34:32,220,2217,2437,9.03
2023-11-06 22:44:02,232,2205,2437,9.52
2023-11-06 22:53:31,237,2200,2437,9.73
2023-11-06 23:03:00,232,2205,2437,9.52
2023-11-06 23:12:40,203,2234,2437,8.33
2023-11-06 23:22:15,239,2198,2437,9.81
2023-11-06 23:31:41,239,2198,2437,9.81
2023-11-06 23:41:14,232,2205,2437,9.52
2023-11-06 23:51:48,238,2199,2437,9.77
2023-11-06 23:59:36,236,2201,2437,9.68
2023-11-07 00:09:05,235,2202,2437,9.64
2023-11-07 00:18:35,235,2202,2437,9.64
2023-11-07 00:28:01,239,2198,2437,9.81
2023-11-07 00:37:31,236,2201,2437,9.68
2023-11-07 00:47:05,238,2199,2437,9.77
2023-11-07 00:56:35,235,2202,2437,9.64
2023-11-07 01:06:02,240,2197,2437,9.85
2023-11-07 01:15:31,239,2198,2437,9.81
2023-11-07 01:25:01,239,2198,2437,9.81
2023-11-07 01:34:27,245,2192,2437,10.05
2023-11-07 01:43:59,222,2215,2437,9.11
2023-11-07 01:53:32,219,2218,2437,8.99
2023-11-07 02:03:04,225,2212,2437,9.23
